timestamp,cash_type,card,money,coffee_name
2024-03-01,card,ANON-0000-0000-0001,38.7,Latte
2024-03-01,card,ANON-0000-0000-0002,38.7,Hot Chocolate
2024-03-01,card,ANON-0000-0000-0002,38.7,Hot Chocolate
2024-03-01,card,ANON-0000-0000-0006,38.7,Hot Chocolate
2024-03-01,card,ANON-0000-0000-0008,38.7,Cocoa
2024-03-01,card,ANON-0000-0000-0008,33.8,Americano With Milk
2024-03-02,card,ANON-0000-0000-0010,28.9,Americano
2024-03-03,cash,CASH,40,Latte
2024-03-03,card,ANON-0000-0000-0017,38.7,Hot Chocolate
2024-03-03,card,ANON-0000-0000-0018,38.7,Cocoa
2024-03-03,card,ANON-0000-0000-0019,28.9,Cortado
2024-03-03,card,ANON-0000-0000-0020,33.8,Americano With Milk
2024-03-03,card,ANON-0000-0000-0020,33.8,Americano With Milk
2024-03-03,card,ANON-0000-0000-0020,38.7,Hot Chocolate
2024-03-04,card,ANON-0000-0000-0001,38.7,Latte
2024-03-04,card,ANON-0000-0000-0012,33.8,Americano With Milk
2024-03-04,card,ANON-0000-0000-0022,24,Espresso
2024-03-05,card,ANON-0000-0000-0028,38.7,Hot Chocolate
2024-03-07,cash,CASH,40,Latte
2024-03-07,card,ANON-0000-0000-0030,38.7,Hot Chocolate
2024-03-07,card,ANON-0000-0000-0031,38.7,Latte
2024-03-08,card,ANON-0000-0000-0034,38.7,Cappuccino
2024-03-09,card,ANON-0000-0000-0038,24,Espresso
2024-03-09,card,ANON-0000-0000-0039,28.9,Americano
2024-03-09,card,ANON-0000-0000-0012,38.7,Cappuccino
2024-03-09,card,ANON-0000-0000-0040,28.9,Americano
2024-03-09,card,ANON-0000-0000-0040,28.9,Americano
2024-03-09,card,ANON-0000-0000-0041,38.7,Latte
2024-03-09,card,ANON-0000-0000-0009,33.8,Americano With Milk
2024-03-09,card,ANON-0000-0000-0009,38.7,Cappuccino
2024-03-09,card,ANON-0000-0000-0009,38.7,Hot Chocolate
2024-03-10,cash,CASH,40,Latte
2024-03-10,card,ANON-0000-0000-0045,24,Espresso
2024-03-11,cash,CASH,40,Latte
2024-03-12,cash,CASH,40,Latte
2024-03-12,card,ANON-0000-0000-0033,28.9,Americano
2024-03-12,card,ANON-0000-0000-0033,28.9,Cortado
2024-03-12,card,ANON-0000-0000-0049,38.7,Hot Chocolate
2024-03-12,card,ANON-0000-0000-0050,28.9,Americano
2024-03-13,card,ANON-0000-0000-0048,38.7,Hot Chocolate
2024-03-13,card,ANON-0000-0000-0051,28.9,Americano
2024-03-13,card,ANON-0000-0000-0051,28.9,Americano
2024-03-14,cash,CASH,40,Latte
2024-03-14,card,ANON-0000-0000-0058,38.7,Latte
2024-03-14,card,ANON-0000-0000-0059,33.8,Americano With Milk
